S6;F0;E;40;{6,0}
S6;F1;F;41;{16,0}
S6;F2;F#;42;{26,0}
S6;F3;G;43;{36,0}
S6;F4;G#;44;{46,0}
S6;F5;A;45;{56,0}
S5;F0;A;45;{5,0}
S5;F1;A#;46;{15,0}
S5;F2;B;47;{25,0}
S5;F3;C;48;{35,0}
S5;F4;C#;49;{45,0}
S5;F5;D;50;{55,0}
S4;F0;D;50;{4,0}
S4;F1;D#;51;{14,0}
S4;F2;E;52;{24,0}
S4;F3;F;53;{34,0}
S4;F4;F#;54;{44,0}
S4;F5;G;55;{54,0}
S3;F0;G;55;{3,0}
S3;F1;G#;56;{13,0}
S3;F2;A;57;{23,0}
S3;F3;A#;58;{33,0}
S3;F4;B;59;{43,0}
S3;F5;C;60;{53,0}
S2;F0;B;59;{2,0}
S2;F1;C;60;{12,0}
S2;F2;C#;61;{22,0}
S2;F3;D;62;{32,0}
S2;F4;D#;63;{42,0}
S2;F5;E;64;{52,0}
S1;F0;E;64;{1,0}
S1;F1;F;65;{11,0}
S1;F2;F#;66;{21,0}
S1;F3;G;67;{31,0}
S1;F4;G#;68;{41,0}
S1;F5;A;69;{51,0}